p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
HERPUD1	5.48532240435765e-253	0.279343372485653	0.333	0.171	1.26507990611701e-248	Macrophage /Monocyte cells	HERPUD1
SGK11	6.56300020262393e-225	0.299286133919993	0.293	0.147	1.51362473673116e-220	Macrophage /Monocyte cells	SGK1
PNRC11	5.18188905402551e-222	0.407682908572671	0.392	0.245	1.1950990725299e-217	Macrophage /Monocyte cells	PNRC1
ATP6V1F	8.39349450369714e-222	0.262250409433627	0.4	0.243	1.93579163738767e-217	Macrophage /Monocyte cells	ATP6V1F
PSME21	6.7809095318277e-217	0.261579158295838	0.335	0.186	1.56388116532542e-212	Macrophage /Monocyte cells	PSME2
LITAF1	5.92793134515341e-188	0.265269762456049	0.414	0.267	1.36715880613273e-183	Macrophage /Monocyte cells	LITAF
KLF61	2.18609123075607e-183	0.390300347849795	0.313	0.181	5.04178220549272e-179	Macrophage /Monocyte cells	KLF6
APOC1	2.47847715931578e-171	0.436736352625487	0.336	0.199	5.71611187252998e-167	Macrophage /Monocyte cells	APOC1
LGALS1	9.40176901708824e-150	0.407280510339227	0.492	0.382	2.16832998841106e-145	Macrophage /Monocyte cells	LGALS1
NR4A21	1.34580239423901e-100	0.288745065096112	0.306	0.204	3.10382406183343e-96	Macrophage /Monocyte cells	NR4A2
FOSB1	1.81848196612358e-98	0.391992979556789	0.323	0.228	4.19396495847082e-94	Macrophage /Monocyte cells	FOSB
S100A10	1.47744670303687e-65	0.254410873777715	0.336	0.257	3.40743533121394e-61	Macrophage /Monocyte cells	S100A10
CSTB1	2.01046260863062e-36	0.276180863518656	0.46	0.403	4.63672991428481e-32	Macrophage /Monocyte cells	CSTB
IFI271	0	0.640769808822382	0.759	0.265	0	Melanocyte cells	IFI27
RPS241	0	0.625508188350653	1	0.987	0	Melanocyte cells	RPS24
GSTP11	0	0.616138567328197	0.93	0.678	0	Melanocyte cells	GSTP1
MT-ND31	0	0.579472727374731	0.992	0.926	0	Melanocyte cells	MT-ND3
RPS71	0	0.576913927318249	1	0.986	0	Melanocyte cells	RPS7
RPLP11	0	0.548336516792371	1	0.999	0	Melanocyte cells	RPLP1
RPL391	0	0.515176227488354	1	0.973	0	Melanocyte cells	RPL39
PDCD4	0	0.499491965220983	0.517	0.208	0	Melanocyte cells	PDCD4
RPL121	0	0.476720216144675	1	0.99	0	Melanocyte cells	RPL12
RPL321	0	0.461387961799868	1	0.987	0	Melanocyte cells	RPL32
RPL28	0	0.433639917758438	1	0.994	0	Melanocyte cells	RPL28
RPS4X1	0	0.42177428235808	1	0.993	0	Melanocyte cells	RPS4X
RPL291	2.41992622423987e-287	0.438064159389154	1	0.981	5.58107585096442e-283	Melanocyte cells	RPL29
RPS181	4.52899348962326e-268	0.425174831780529	1	0.992	1.04452176851181e-263	Melanocyte cells	RPS18
TMSB102	1.65045123756841e-257	0.390219603484091	0.996	0.934	3.80643568920404e-253	Melanocyte cells	TMSB10
RPS151	7.00185551365232e-254	0.36630691186333	1	0.984	1.61483793711363e-249	Melanocyte cells	RPS15
RPS81	3.71737232494648e-252	0.341739774937587	1	0.995	8.57337579302407e-248	Melanocyte cells	RPS8
RPL35A1	1.42963246069697e-242	0.407125776183313	0.998	0.945	3.29716134410542e-238	Melanocyte cells	RPL35A
AP1S21	8.12897130625637e-240	0.525619904059354	0.694	0.459	1.87478465236191e-235	Melanocyte cells	AP1S2
RPL26	2.01389504926426e-239	0.4064587464132	0.976	0.849	4.64464615211817e-235	Melanocyte cells	RPL26
RPS191	7.05695724680496e-232	0.346320783725198	1	0.99	1.62754604983063e-227	Melanocyte cells	RPS19
RPL141	7.9954792447513e-220	0.340266989195298	0.999	0.968	1.84399737821699e-215	Melanocyte cells	RPL14
RPL151	6.80418280789884e-219	0.339923916310362	1	0.975	1.56924868098571e-214	Melanocyte cells	RPL15
RPS61	3.52764076171602e-212	0.327942322111951	1	0.988	8.13579788874565e-208	Melanocyte cells	RPS6
RPS22	1.98448760198827e-193	0.329245076448964	1	0.962	4.57682375646554e-189	Melanocyte cells	RPS2
BANCR1	2.07227175714268e-188	0.358790600911358	0.343	0.132	4.77928035349817e-184	Melanocyte cells	BANCR
RPS91	1.52768882244088e-185	0.322791193776639	0.999	0.979	3.5233087311954e-181	Melanocyte cells	RPS9
RPL111	1.89647474778138e-177	0.289746195797776	1	0.991	4.37383971080819e-173	Melanocyte cells	RPL11
RPL301	5.4987663494812e-176	0.256688050894294	1	0.991	1.26818048318085e-171	Melanocyte cells	RPL30
PTMA1	7.28860141045166e-160	0.318732940037427	0.996	0.973	1.68097014329247e-155	Melanocyte cells	PTMA
RPL18A1	1.376936934101e-158	0.261455475250068	1	0.993	3.17562965111713e-154	Melanocyte cells	RPL18A
RPS27A1	5.65847297040574e-156	0.252369577325621	1	0.993	1.30501362116467e-151	Melanocyte cells	RPS27A
RPL241	8.75914657721772e-151	0.293245895390622	0.985	0.908	2.02012197510372e-146	Melanocyte cells	RPL24
RPL221	7.96352811542555e-142	0.300956871018157	0.985	0.936	1.83662848926059e-137	Melanocyte cells	RPL22
RPS281	1.82699850168712e-136	0.252021191253258	1	0.975	4.21360664444101e-132	Melanocyte cells	RPS28
PPDPF	2.57821183226202e-134	0.321061774961486	0.878	0.803	5.94612994874589e-130	Melanocyte cells	PPDPF
RPS15A2	1.30475911711909e-129	0.253121483203076	0.999	0.978	3.00916595181175e-125	Melanocyte cells	RPS15A
RPL371	2.68056225217912e-129	0.25608811826851	0.999	0.964	6.1821807222007e-125	Melanocyte cells	RPL37
HSPB1	7.52234394807599e-120	0.361102239602502	0.658	0.504	1.73487818474477e-115	Melanocyte cells	HSPB1
PRDX1	5.00653594927305e-92	0.300302705021331	0.685	0.565	1.15465738598084e-87	Melanocyte cells	PRDX1
TFAP2A1	2.67564629723774e-76	0.25135196117406	0.342	0.194	6.1708430553194e-72	Melanocyte cells	TFAP2A
RPL36A	2.17340096389266e-69	0.282060547190495	0.531	0.399	5.01251464302563e-65	Melanocyte cells	RPL36A
COMMD6	1.04535484370565e-58	0.273702969438351	0.45	0.335	2.41090187603833e-54	Melanocyte cells	COMMD6
USMG5	1.9845456780409e-47	0.259650197025589	0.45	0.353	4.57695769726573e-43	Melanocyte cells	USMG5
IGKV3-20	0	5.43035327991579	0.47	0.049	0	Plasma cells	IGKV3-20
IGLV3-1	0	5.0202767180584	0.546	0.041	0	Plasma cells	IGLV3-1
IGLV2-14	0	4.8164430910605	0.293	0.034	0	Plasma cells	IGLV2-14
IGLV6-57	0	3.9215775576891	0.257	0.019	0	Plasma cells	IGLV6-57
IGKC	0	3.91034470823127	0.726	0.061	0	Plasma cells	IGKC
IGHG1	0	3.72976727444404	0.752	0.05	0	Plasma cells	IGHG1
JCHAIN	0	3.44391455284049	0.804	0.014	0	Plasma cells	JCHAIN
IGHG4	0	2.83477938462258	0.788	0.031	0	Plasma cells	IGHG4
IGLC2	0	2.58571570448119	0.4	0.026	0	Plasma cells	IGLC2
IGLC3	0	2.21851247758677	0.293	0.018	0	Plasma cells	IGLC3
IGHG3	0	2.06040099389219	0.641	0.012	0	Plasma cells	IGHG3
SSR4	0	1.88286533556259	0.922	0.324	0	Plasma cells	SSR4
MZB1	0	1.67250754387628	0.861	0.005	0	Plasma cells	MZB1
IGHG2	0	1.48977221082376	0.286	0.005	0	Plasma cells	IGHG2
HERPUD11	0	1.42936527694634	0.838	0.168	0	Plasma cells	HERPUD1
IGHA1	0	1.23876138774974	0.259	0.006	0	Plasma cells	IGHA1
IGLL5	0	1.07024207176532	0.412	0.001	0	Plasma cells	IGLL5
DERL3	0	1.05837315214827	0.76	0.003	0	Plasma cells	DERL3
XBP1	0	1.02678688956066	0.774	0.134	0	Plasma cells	XBP1
FKBP11	0	0.887581812953107	0.743	0.085	0	Plasma cells	FKBP11
HSP90B1	0	0.81632858529135	0.799	0.251	0	Plasma cells	HSP90B1
CD79A	0	0.709605067562126	0.607	0.005	0	Plasma cells	CD79A
CYBA2	0	0.699764205954032	0.803	0.205	0	Plasma cells	CYBA
ISG201	0	0.69891895074838	0.692	0.111	0	Plasma cells	ISG20
SEC11C	0	0.617984871981024	0.674	0.188	0	Plasma cells	SEC11C
PIM2	0	0.614566967704362	0.536	0.041	0	Plasma cells	PIM2
ANKRD28	0	0.568724149952315	0.5	0.063	0	Plasma cells	ANKRD28
BTG21	0	0.566172578001828	0.527	0.175	0	Plasma cells	BTG2
ITM2C	0	0.547485513205114	0.61	0.18	0	Plasma cells	ITM2C
DUSP5	0	0.546684659388106	0.48	0.04	0	Plasma cells	DUSP5
PRDX4	0	0.53594180032989	0.62	0.128	0	Plasma cells	PRDX4
PRDM11	0	0.529721815838193	0.486	0.052	0	Plasma cells	PRDM1
UBE2J1	0	0.521687964807006	0.533	0.074	0	Plasma cells	UBE2J1
SERP1	0	0.51766006797923	0.69	0.233	0	Plasma cells	SERP1
RGS12	0	0.51179644021097	0.592	0.14	0	Plasma cells	RGS1
SPCS3	0	0.479661981053227	0.566	0.095	0	Plasma cells	SPCS3
RAB30	0	0.454032786119289	0.383	0.01	0	Plasma cells	RAB30
TP53INP1	0	0.44006229540263	0.41	0.021	0	Plasma cells	TP53INP1
PDE4B1	0	0.427228148695516	0.459	0.071	0	Plasma cells	PDE4B
FAM46C1	0	0.423641767234298	0.457	0.05	0	Plasma cells	FAM46C
SSR3	0	0.399434856928618	0.532	0.129	0	Plasma cells	SSR3
SELK1	0	0.398549028794552	0.587	0.171	0	Plasma cells	SELK
PELI1	0	0.388287909351135	0.328	0.031	0	Plasma cells	PELI1
VIMP	0	0.38756239756942	0.495	0.102	0	Plasma cells	VIMP
SDF2L1	0	0.386187779958685	0.432	0.068	0	Plasma cells	SDF2L1
TSC22D31	0	0.375550925920616	0.491	0.149	0	Plasma cells	TSC22D3
MIR155HG	0	0.374875534567813	0.258	0.037	0	Plasma cells	MIR155HG
DNAJB9	0	0.374147647436124	0.464	0.076	0	Plasma cells	DNAJB9
FKBP2	0	0.373284749573194	0.571	0.188	0	Plasma cells	FKBP2
EHMT1	0	0.367699700905064	0.318	0.023	0	Plasma cells	EHMT1
SPCS2	0	0.363669133263356	0.564	0.181	0	Plasma cells	SPCS2
ELL2	0	0.359256316324189	0.375	0.044	0	Plasma cells	ELL2
ERLEC1	0	0.350949754572227	0.412	0.059	0	Plasma cells	ERLEC1
LINC001521	0	0.339707391219717	0.347	0.065	0	Plasma cells	LINC00152
CYTIP1	0	0.339032877571201	0.442	0.081	0	Plasma cells	CYTIP
CD38	0	0.334428376354456	0.354	0.029	0	Plasma cells	CD38
TXNDC5	0	0.316292000958275	0.289	0.005	0	Plasma cells	TXNDC5
FNDC3B	0	0.313413885635379	0.3	0.038	0	Plasma cells	FNDC3B
PLPP5	0	0.307775720986259	0.378	0.051	0	Plasma cells	PLPP5
HIST1H1C	0	0.306355059057386	0.288	0.046	0	Plasma cells	HIST1H1C
SEL1L3	0	0.27204225710985	0.285	0.011	0	Plasma cells	SEL1L3
CD271	0	0.270239383150814	0.388	0.071	0	Plasma cells	CD27
H1FX	0	0.268577911259879	0.275	0.035	0	Plasma cells	H1FX
POU2AF1	0	0.268402281290384	0.261	0.002	0	Plasma cells	POU2AF1
MANF	0	0.263704941449561	0.329	0.054	0	Plasma cells	MANF
LINC-PINT1	0	0.257431705822284	0.335	0.072	0	Plasma cells	LINC-PINT
SPCS1	1.09029548917025e-307	0.360893286218758	0.613	0.238	2.51454848667335e-303	Plasma cells	SPCS1
SEC61B	1.23749759717183e-286	0.460499138559266	0.658	0.291	2.85404070835739e-282	Plasma cells	SEC61B
ZFP36L21	6.59350432210959e-261	0.303104971876159	0.521	0.187	1.52065990180814e-256	Plasma cells	ZFP36L2
TRAM1	1.01160975401328e-210	0.275560522264192	0.512	0.21	2.33307557568083e-206	Plasma cells	TRAM1
ANKRD37	1.75413850150983e-179	0.294286304641618	0.263	0.079	4.04556962603211e-175	Plasma cells	ANKRD37
MYDGF	7.7334500776474e-164	0.261948925408918	0.386	0.154	1.78356559140782e-159	Plasma cells	MYDGF
SUB11	2.86203679374601e-154	0.358141616142597	0.626	0.335	6.60071545741643e-150	Plasma cells	SUB1
YPEL51	2.8242865032902e-151	0.257061295626614	0.378	0.151	6.51365196253818e-147	Plasma cells	YPEL5
MALAT12	3.85604440173165e-149	0.255174420660379	0.987	0.942	8.8931952037137e-145	Plasma cells	MALAT1
KLF62	5.93737224589732e-148	0.359042033815513	0.422	0.187	1.3693361610713e-143	Plasma cells	KLF6
SEC61G	2.21430072896605e-136	0.260396458179482	0.488	0.238	5.10684177121439e-132	Plasma cells	SEC61G
EZR1	2.38334132764146e-126	0.293989831060258	0.366	0.155	5.49670010393949e-122	Plasma cells	EZR
MCL11	2.81097669924046e-119	0.253848259972252	0.494	0.249	6.48295556145828e-115	Plasma cells	MCL1
MT-ND32	1.37174236864763e-116	0.332803180796217	0.98	0.927	3.16364942481203e-112	Plasma cells	MT-ND3
RPL72	1.98848035050487e-208	0.494632792194335	0.995	0.932	4.58603223236939e-204	Melanocyte cells	RPL7
APOC11	7.03081755580689e-166	1.25040535206424	0.419	0.206	1.62151745289574e-161	Melanocyte cells	APOC1
SDCBP2	1.04009806912459e-151	0.444114868410997	0.957	0.769	2.39877817682205e-147	Melanocyte cells	SDCBP
COX6C1	1.07642072358301e-124	0.4041872826895	0.895	0.685	2.4825491147995e-120	Melanocyte cells	COX6C
UQCRB1	5.9507884884398e-98	0.341404319506829	0.971	0.831	1.37243034908887e-93	Melanocyte cells	UQCRB
RPS17	7.18973801425349e-85	0.331361537942038	0.857	0.699	1.65816927822728e-80	Melanocyte cells	RPS17
RPS20	1.65410478305854e-76	0.333171033482633	0.928	0.814	3.81486186116791e-72	Melanocyte cells	RPS20
LY6E2	1.22793111433611e-67	0.370919350963806	0.673	0.504	2.83197752899338e-63	Melanocyte cells	LY6E
GAPDH1	3.91008188355298e-66	0.345798141385683	0.996	0.956	9.01782184803824e-62	Melanocyte cells	GAPDH
APOE1	5.35168262583323e-55	0.364330429135762	0.742	0.556	1.23425856399592e-50	Melanocyte cells	APOE
GSTP12	1.9007596300823e-44	0.557770816276941	0.846	0.681	4.3837219348588e-40	Melanocyte cells	GSTP1
MIF1	1.37119708331094e-42	0.381605326006576	0.959	0.825	3.16239183324002e-38	Melanocyte cells	MIF
CITED12	6.35023085641087e-38	0.271893865142712	0.487	0.365	1.46455374241404e-33	Melanocyte cells	CITED1
ATP5I	7.73081039570864e-26	0.28348674712303	0.343	0.269	1.78295680156228e-21	Melanocyte cells	ATP5I
C4orf48	3.37422665072387e-24	0.294970116792431	0.3	0.226	7.78197892456445e-20	Melanocyte cells	C4orf48
CSTB2	3.89719376175396e-24	0.327858303627925	0.453	0.407	8.98809797273316e-20	Melanocyte cells	CSTB
S100A6	2.21414201239455e-107	0.633486702269249	0.579	0.39	5.10647572318554e-103	Melanocyte cells	S100A6
CCND1	2.69511799813766e-86	0.54243721380743	0.314	0.15	6.21575063910489e-82	Melanocyte cells	CCND1
LGALS31	6.61301335389275e-85	0.363495423933442	0.37	0.184	1.52515926980829e-80	Melanocyte cells	LGALS3
IFITM31	1.07932084738046e-63	0.26581477235662	0.841	0.698	2.48923767031356e-59	Melanocyte cells	IFITM3
EEF1B21	1.50589246583442e-61	0.463560331119861	0.894	0.881	3.47303979395393e-57	Melanocyte cells	EEF1B2
GAPDH2	1.39892608628835e-59	0.271665004038594	0.956	0.957	3.22634323280683e-55	Melanocyte cells	GAPDH
LGALS11	2.69980651856661e-52	0.565767849071639	0.496	0.39	6.22656377377017e-48	Melanocyte cells	LGALS1
RPL261	2.86372719008115e-42	0.338179454664885	0.899	0.852	6.60461401848414e-38	Melanocyte cells	RPL26
EEF2	1.6833729360967e-33	0.319624264218042	0.91	0.897	3.88236300251982e-29	Melanocyte cells	EEF2
YBX1	6.5031900017357e-24	0.270855722718608	0.76	0.729	1.4998307101003e-19	Melanocyte cells	YBX1
FTH12	2.99865929176778e-19	0.265615790666443	0.982	0.99	6.91580792460403e-15	Melanocyte cells	FTH1
ATP5B1	1.93323043112623e-17	0.284060406959882	0.449	0.411	4.45860934330643e-13	Melanocyte cells	ATP5B
CSTB3	1.1349644208716e-15	0.28552468500899	0.452	0.407	2.61756844385617e-11	Melanocyte cells	CSTB
GUK1	4.1783637103163e-15	0.31079741559642	0.383	0.35	9.63656022510248e-11	Melanocyte cells	GUK1
NEAT11	1.17191159153608e-09	1.45921667486505	0.413	0.409	2.70277970355967e-05	Melanocyte cells	NEAT1
PTGDS	0	2.58256643017827	0.943	0.039	0	Melanocyte cells	PTGDS
SERPINF11	1.19342184844366e-218	1.18012569646539	0.725	0.324	2.75238880906562e-214	Melanocyte cells	SERPINF1
SOD31	3.55576296020809e-185	0.432385760997957	0.42	0.116	8.20065611512791e-181	Melanocyte cells	SOD3
IGFBP71	1.04079872266883e-178	0.855819601805412	0.825	0.505	2.40039409409112e-174	Melanocyte cells	IGFBP7
LRPAP11	2.57044709743165e-158	0.652957403603358	0.549	0.214	5.9282221408066e-154	Melanocyte cells	LRPAP1
TSPAN31	1.14399835356878e-157	0.370505401315659	0.553	0.206	2.63840340283567e-153	Melanocyte cells	TSPAN3
SEPW11	1.33626691995042e-155	0.57408620914238	0.674	0.318	3.08183239748165e-151	Melanocyte cells	SEPW1
GRINA1	4.18850329263037e-145	0.495778697603502	0.645	0.295	9.65994514379342e-141	Melanocyte cells	GRINA
QDPR1	7.11140735275686e-145	0.52370881197306	0.394	0.123	1.64010387776631e-140	Melanocyte cells	QDPR
STK32A	2.95938696687895e-140	0.308886189286532	0.348	0.101	6.82523416171292e-136	Melanocyte cells	STK32A
PLP1	1.5802735790374e-138	0.303681946765818	0.336	0.096	3.64458495533395e-134	Melanocyte cells	PLP1
LAPTM4B1	9.72741926225601e-135	0.323837539151933	0.455	0.16	2.2434347044541e-130	Melanocyte cells	LAPTM4B
CTSD1	7.99661626955729e-129	0.779470442252319	0.722	0.386	1.844259610248e-124	Melanocyte cells	CTSD
CST31	2.02412546467561e-123	1.20007957066258	0.709	0.381	4.66824055918136e-119	Melanocyte cells	CST3
ITM2C1	2.57258925938558e-123	0.307317983976302	0.485	0.188	5.93316260892096e-119	Melanocyte cells	ITM2C
PTP4A31	2.08352472634781e-119	0.368141945643729	0.453	0.17	4.80523307637595e-115	Melanocyte cells	PTP4A3
ST3GAL41	3.15081746903586e-119	0.390907231206413	0.57	0.245	7.2667303288374e-115	Melanocyte cells	ST3GAL4
NSG11	3.31379248771671e-114	0.636773279918045	0.543	0.253	7.64259961442104e-110	Melanocyte cells	NSG1
GPX31	3.95204007558671e-112	0.626468366001158	0.471	0.195	9.11459002632563e-108	Melanocyte cells	GPX3
RCN2	1.04909933682877e-106	0.259011554588997	0.409	0.152	2.41953780052819e-102	Melanocyte cells	RCN2
SPARC	1.59105776897063e-106	0.25579014457259	0.407	0.149	3.66945653257695e-102	Melanocyte cells	SPARC
MARCKSL11	6.25950141958217e-98	0.394522086029663	0.497	0.226	1.44362881239824e-93	Melanocyte cells	MARCKSL1
MTDH1	4.75544549541656e-97	0.360632321175692	0.584	0.296	1.09674839460792e-92	Melanocyte cells	MTDH
PLD31	2.43874685226328e-96	0.250219968791256	0.456	0.188	5.6244818653748e-92	Melanocyte cells	PLD3
PIR1	8.20249554131131e-96	0.339703165575485	0.492	0.217	1.89174154669263e-91	Melanocyte cells	PIR
RTN4	5.96013850739085e-94	0.346076971474341	0.497	0.232	1.37458674395955e-89	Melanocyte cells	RTN4
APP1	1.6020808882973e-91	0.338966830500415	0.455	0.198	3.69487915268006e-87	Melanocyte cells	APP
GPM6B1	3.37680428423207e-90	0.381184334932005	0.485	0.218	7.78792372072443e-86	Melanocyte cells	GPM6B
RAB2A2	5.46882047953992e-90	0.304426771774725	0.561	0.277	1.26127406719629e-85	Melanocyte cells	RAB2A
CKB	1.67819464015182e-89	0.252043729455063	0.266	0.083	3.87042029858214e-85	Melanocyte cells	CKB
CITED13	2.06426838307449e-89	0.534436958038034	0.635	0.364	4.76082217188469e-85	Melanocyte cells	CITED1
PHACTR1	2.63652214498825e-89	0.262589453704622	0.354	0.132	6.0806110229864e-85	Melanocyte cells	PHACTR1
MT1E	3.31334342835731e-88	0.274448899324062	0.296	0.101	7.64156394882046e-84	Melanocyte cells	MT1E
ATP6V0B	2.11536248679531e-87	0.27261886231022	0.528	0.252	4.87866050329601e-83	Melanocyte cells	ATP6V0B
RAMP11	2.94213857077533e-86	0.459268132019226	0.493	0.237	6.78545418577915e-82	Melanocyte cells	RAMP1
TRIB1	1.66158756165899e-85	0.345301051631717	0.275	0.093	3.83211939345412e-81	Melanocyte cells	TRIB1
LY6E3	2.13064328356455e-85	0.534960904851355	0.734	0.505	4.91390260488493e-81	Melanocyte cells	LY6E
NGFRAP1	8.91322869140614e-84	0.322478564438505	0.522	0.258	2.055657933099e-79	Melanocyte cells	NGFRAP1
CYC12	5.10740293318194e-83	0.283143870511019	0.576	0.289	1.17792033847975e-78	Melanocyte cells	CYC1
GPR1431	1.20931701691704e-82	0.264456095909823	0.454	0.2	2.78904783611576e-78	Melanocyte cells	GPR143
METTL91	2.0576631741964e-80	0.408888093737614	0.649	0.397	4.74558857864915e-76	Melanocyte cells	METTL9
S100A12	8.86734839051754e-79	0.4502467501936	0.854	0.638	2.04507655930506e-74	Melanocyte cells	S100A1
CD591	1.48133261704218e-78	0.446986007567602	0.599	0.349	3.41639741468438e-74	Melanocyte cells	CD59
GPX4	1.48357438653392e-75	0.395746497879916	0.654	0.381	3.42156760766318e-71	Melanocyte cells	GPX4
LGALS3BP1	6.96150237527283e-74	0.300318642679727	0.465	0.22	1.60553129280917e-69	Melanocyte cells	LGALS3BP
BSG1	3.65528713754228e-73	0.287504732561747	0.616	0.34	8.43018872531376e-69	Melanocyte cells	BSG
SPTBN11	1.18159472823792e-72	0.254773205656521	0.361	0.152	2.72511192173511e-68	Melanocyte cells	SPTBN1
MDK1	1.46929619109467e-72	0.286138439493169	0.332	0.134	3.38863780552165e-68	Melanocyte cells	MDK
ZNF1061	3.11594521327406e-72	0.378565740765073	0.62	0.369	7.18630444537398e-68	Melanocyte cells	ZNF106
CTSF1	6.70525274822722e-72	0.266722474527934	0.424	0.196	1.54643244132364e-67	Melanocyte cells	CTSF
RHOBTB31	9.92398399698032e-71	0.31182062968601	0.442	0.215	2.28876842922357e-66	Melanocyte cells	RHOBTB3
TMEM59	2.91963363967798e-70	0.310670412136278	0.543	0.299	6.73355106318933e-66	Melanocyte cells	TMEM59
NDUFB91	6.80174031444265e-70	0.337391155666936	0.65	0.394	1.56868536871991e-65	Melanocyte cells	NDUFB9
CRYL11	3.84326495707862e-68	0.282175582909269	0.428	0.206	8.86372197051043e-64	Melanocyte cells	CRYL1
CRYAB2	1.85986472789607e-64	0.467690749149865	0.53	0.292	4.2894060219467e-60	Melanocyte cells	CRYAB
PSAP1	4.09150863382568e-64	0.306516623914344	0.605	0.352	9.43624636219217e-60	Melanocyte cells	PSAP
OCIAD1	1.26296199296733e-63	0.256440810231977	0.406	0.194	2.91276924438055e-59	Melanocyte cells	OCIAD1
APLP2	2.17037778112767e-62	0.344697770451223	0.31	0.132	5.00554227661475e-58	Melanocyte cells	APLP2
SPON21	4.36132505411358e-62	0.326873143711092	0.358	0.163	1.00585239723021e-57	Melanocyte cells	SPON2
S100A131	6.9255636215802e-62	0.267806184108088	0.522	0.283	1.59724273804504e-57	Melanocyte cells	S100A13
GEM1	1.02656740641466e-60	0.284356533379195	0.319	0.135	2.36757240941412e-56	Melanocyte cells	GEM
CD631	1.05115780776089e-57	0.299898576675146	0.958	0.828	2.42428525203893e-53	Melanocyte cells	CD63
COX6C2	1.90859967983056e-54	0.266913004883438	0.853	0.688	4.40180344159322e-50	Melanocyte cells	COX6C
RHOB1	7.88876437799171e-54	0.31638925617023	0.371	0.183	1.81938572849623e-49	Melanocyte cells	RHOB
C4orf481	3.88345395097365e-53	0.336713174976263	0.421	0.225	8.95640984713052e-49	Melanocyte cells	C4orf48
PEBP1	2.91970456436358e-52	0.263356400800939	0.846	0.666	6.73371463679173e-48	Melanocyte cells	PEBP1
PPIB	1.71099386070508e-49	0.266752809137734	0.626	0.401	3.94606514094414e-45	Melanocyte cells	PPIB
P4HB1	1.91511507126046e-49	0.280468339069132	0.451	0.25	4.41682988884801e-45	Melanocyte cells	P4HB
KLF101	2.02861921584116e-49	0.304504818092475	0.301	0.139	4.67860449749446e-45	Melanocyte cells	KLF10
MYC1	2.91395648370699e-46	0.366271171648877	0.359	0.189	6.72045783837344e-42	Melanocyte cells	MYC
GAPDH3	2.58204777458029e-45	0.452019966385273	0.993	0.957	5.95497678251451e-41	Melanocyte cells	GAPDH
GADD45B1	8.4439605377955e-43	0.294575216647376	0.342	0.177	1.94743061883178e-38	Melanocyte cells	GADD45B
ATF31	3.33725513812221e-40	0.289334571430719	0.385	0.216	7.69671152505124e-36	Melanocyte cells	ATF3
GDF151	2.1931605496099e-36	0.306983166178205	0.282	0.14	5.05808617556532e-32	Melanocyte cells	GDF15
VIM1	1.71453552676136e-35	0.43538268699437	0.966	0.939	3.95423328536973e-31	Melanocyte cells	VIM
MT-CO11	6.2767706969055e-32	0.281868076600967	0.981	0.974	1.44761162582732e-27	Melanocyte cells	MT-CO1
NR4A11	4.89919466846639e-30	0.290930568763776	0.447	0.297	1.1299012663884e-25	Melanocyte cells	NR4A1
IFI61	6.08332955970612e-28	0.364336340137654	0.309	0.178	1.40299829635502e-23	Melanocyte cells	IFI6
APOC12	1.67831389968537e-27	0.748811945042975	0.333	0.21	3.87069534684438e-23	Melanocyte cells	APOC1
CDKN1A1	3.91127111878925e-24	0.386981303793739	0.356	0.238	9.02056458126364e-20	Melanocyte cells	CDKN1A
CHCHD61	8.99405763409804e-22	0.300077451633323	0.279	0.169	2.07429951215203e-17	Melanocyte cells	CHCHD6
MTRNR2L82	4.56141032936597e-17	0.34172617350166	0.395	0.282	1.05199806426167e-12	Melanocyte cells	MTRNR2L8
ITM2B1	2.31259030056597e-14	0.254321271069937	0.491	0.386	5.33352701019529e-10	Melanocyte cells	ITM2B
HLA-A1	5.30379191487356e-13	0.270348361026676	0.925	0.89	1.22321352932729e-08	Melanocyte cells	HLA-A
APOE2	2.03353810322729e-12	0.477647786239181	0.599	0.56	4.68994892747311e-08	Melanocyte cells	APOE
TUBA1B1	0	1.44713572367463	0.881	0.34	0	Melanocyte cells	TUBA1B
STMN1	0	1.41638239050181	0.84	0.202	0	Melanocyte cells	STMN1
H2AFZ	0	1.35135899187419	0.927	0.538	0	Melanocyte cells	H2AFZ
HMGN2	0	1.34303777537125	0.854	0.28	0	Melanocyte cells	HMGN2
TUBB	0	1.2136139525214	0.866	0.361	0	Melanocyte cells	TUBB
HMGB21	0	1.11147532704001	0.601	0.075	0	Melanocyte cells	HMGB2
HIST1H4C	0	1.07345547209457	0.485	0.107	0	Melanocyte cells	HIST1H4C
PTTG1	0	1.00656996826511	0.685	0.067	0	Melanocyte cells	PTTG1
UBE2C	0	1.00497334706221	0.624	0.004	0	Melanocyte cells	UBE2C
TYMS	0	0.952803078624182	0.655	0.027	0	Melanocyte cells	TYMS
CENPF	0	0.738623148234885	0.459	0.007	0	Melanocyte cells	CENPF
RRM2	0	0.627224168874937	0.429	0.004	0	Melanocyte cells	RRM2
MKI67	0	0.625881420431527	0.471	0.004	0	Melanocyte cells	MKI67
CDKN3	0	0.622491935549312	0.494	0.009	0	Melanocyte cells	CDKN3
H2AFV	0	0.610323051887634	0.587	0.11	0	Melanocyte cells	H2AFV
NUSAP1	0	0.595527502244389	0.464	0.008	0	Melanocyte cells	NUSAP1
BIRC5	0	0.588255021742819	0.507	0.003	0	Melanocyte cells	BIRC5
