p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SUB11	2.86203679374601e-154	0.358141616142597	0.626	0.335	6.60071545741643e-150	6	SUB1
YPEL51	2.8242865032902e-151	0.257061295626614	0.378	0.151	6.51365196253818e-147	6	YPEL5
MALAT12	3.85604440173165e-149	0.255174420660379	0.987	0.942	8.8931952037137e-145	6	MALAT1
KLF62	5.93737224589732e-148	0.359042033815513	0.422	0.187	1.3693361610713e-143	6	KLF6
SEC61G	2.21430072896605e-136	0.260396458179482	0.488	0.238	5.10684177121439e-132	6	SEC61G
EZR1	2.38334132764146e-126	0.293989831060258	0.366	0.155	5.49670010393949e-122	6	EZR
MCL11	2.81097669924046e-119	0.253848259972252	0.494	0.249	6.48295556145828e-115	6	MCL1
MT-ND32	1.37174236864763e-116	0.332803180796217	0.98	0.927	3.16364942481203e-112	6	MT-ND3
RPL72	1.98848035050487e-208	0.494632792194335	0.995	0.932	4.58603223236939e-204	7	RPL7
APOC11	7.03081755580689e-166	1.25040535206424	0.419	0.206	1.62151745289574e-161	7	APOC1
SDCBP2	1.04009806912459e-151	0.444114868410997	0.957	0.769	2.39877817682205e-147	7	SDCBP
COX6C1	1.07642072358301e-124	0.4041872826895	0.895	0.685	2.4825491147995e-120	7	COX6C
UQCRB1	5.9507884884398e-98	0.341404319506829	0.971	0.831	1.37243034908887e-93	7	UQCRB
RPS17	7.18973801425349e-85	0.331361537942038	0.857	0.699	1.65816927822728e-80	7	RPS17
RPS20	1.65410478305854e-76	0.333171033482633	0.928	0.814	3.81486186116791e-72	7	RPS20
LY6E2	1.22793111433611e-67	0.370919350963806	0.673	0.504	2.83197752899338e-63	7	LY6E
GAPDH1	3.91008188355298e-66	0.345798141385683	0.996	0.956	9.01782184803824e-62	7	GAPDH
APOE1	5.35168262583323e-55	0.364330429135762	0.742	0.556	1.23425856399592e-50	7	APOE
GSTP12	1.9007596300823e-44	0.557770816276941	0.846	0.681	4.3837219348588e-40	7	GSTP1
MIF1	1.37119708331094e-42	0.381605326006576	0.959	0.825	3.16239183324002e-38	7	MIF
CITED12	6.35023085641087e-38	0.271893865142712	0.487	0.365	1.46455374241404e-33	7	CITED1
ATP5I	7.73081039570864e-26	0.28348674712303	0.343	0.269	1.78295680156228e-21	7	ATP5I
C4orf48	3.37422665072387e-24	0.294970116792431	0.3	0.226	7.78197892456445e-20	7	C4orf48
CSTB2	3.89719376175396e-24	0.327858303627925	0.453	0.407	8.98809797273316e-20	7	CSTB
S100A6	2.21414201239455e-107	0.633486702269249	0.579	0.39	5.10647572318554e-103	8	S100A6
CCND1	2.69511799813766e-86	0.54243721380743	0.314	0.15	6.21575063910489e-82	8	CCND1
LGALS31	6.61301335389275e-85	0.363495423933442	0.37	0.184	1.52515926980829e-80	8	LGALS3
IFITM31	1.07932084738046e-63	0.26581477235662	0.841	0.698	2.48923767031356e-59	8	IFITM3
EEF1B21	1.50589246583442e-61	0.463560331119861	0.894	0.881	3.47303979395393e-57	8	EEF1B2
GAPDH2	1.39892608628835e-59	0.271665004038594	0.956	0.957	3.22634323280683e-55	8	GAPDH
LGALS11	2.69980651856661e-52	0.565767849071639	0.496	0.39	6.22656377377017e-48	8	LGALS1
RPL261	2.86372719008115e-42	0.338179454664885	0.899	0.852	6.60461401848414e-38	8	RPL26
EEF2	1.6833729360967e-33	0.319624264218042	0.91	0.897	3.88236300251982e-29	8	EEF2
YBX1	6.5031900017357e-24	0.270855722718608	0.76	0.729	1.4998307101003e-19	8	YBX1
FTH12	2.99865929176778e-19	0.265615790666443	0.982	0.99	6.91580792460403e-15	8	FTH1
ATP5B1	1.93323043112623e-17	0.284060406959882	0.449	0.411	4.45860934330643e-13	8	ATP5B
CSTB3	1.1349644208716e-15	0.28552468500899	0.452	0.407	2.61756844385617e-11	8	CSTB
GUK1	4.1783637103163e-15	0.31079741559642	0.383	0.35	9.63656022510248e-11	8	GUK1
NEAT11	1.17191159153608e-09	1.45921667486505	0.413	0.409	2.70277970355967e-05	8	NEAT1
PTGDS	0	2.58256643017827	0.943	0.039	0	9	PTGDS
SERPINF11	1.19342184844366e-218	1.18012569646539	0.725	0.324	2.75238880906562e-214	9	SERPINF1
SOD31	3.55576296020809e-185	0.432385760997957	0.42	0.116	8.20065611512791e-181	9	SOD3
IGFBP71	1.04079872266883e-178	0.855819601805412	0.825	0.505	2.40039409409112e-174	9	IGFBP7
LRPAP11	2.57044709743165e-158	0.652957403603358	0.549	0.214	5.9282221408066e-154	9	LRPAP1
TSPAN31	1.14399835356878e-157	0.370505401315659	0.553	0.206	2.63840340283567e-153	9	TSPAN3
SEPW11	1.33626691995042e-155	0.57408620914238	0.674	0.318	3.08183239748165e-151	9	SEPW1
GRINA1	4.18850329263037e-145	0.495778697603502	0.645	0.295	9.65994514379342e-141	9	GRINA
QDPR1	7.11140735275686e-145	0.52370881197306	0.394	0.123	1.64010387776631e-140	9	QDPR
STK32A	2.95938696687895e-140	0.308886189286532	0.348	0.101	6.82523416171292e-136	9	STK32A
PLP1	1.5802735790374e-138	0.303681946765818	0.336	0.096	3.64458495533395e-134	9	PLP1
LAPTM4B1	9.72741926225601e-135	0.323837539151933	0.455	0.16	2.2434347044541e-130	9	LAPTM4B
CTSD1	7.99661626955729e-129	0.779470442252319	0.722	0.386	1.844259610248e-124	9	CTSD
CST31	2.02412546467561e-123	1.20007957066258	0.709	0.381	4.66824055918136e-119	9	CST3
ITM2C1	2.57258925938558e-123	0.307317983976302	0.485	0.188	5.93316260892096e-119	9	ITM2C
PTP4A31	2.08352472634781e-119	0.368141945643729	0.453	0.17	4.80523307637595e-115	9	PTP4A3
ST3GAL41	3.15081746903586e-119	0.390907231206413	0.57	0.245	7.2667303288374e-115	9	ST3GAL4
NSG11	3.31379248771671e-114	0.636773279918045	0.543	0.253	7.64259961442104e-110	9	NSG1
GPX31	3.95204007558671e-112	0.626468366001158	0.471	0.195	9.11459002632563e-108	9	GPX3
RCN2	1.04909933682877e-106	0.259011554588997	0.409	0.152	2.41953780052819e-102	9	RCN2
SPARC	1.59105776897063e-106	0.25579014457259	0.407	0.149	3.66945653257695e-102	9	SPARC
MARCKSL11	6.25950141958217e-98	0.394522086029663	0.497	0.226	1.44362881239824e-93	9	MARCKSL1
MTDH1	4.75544549541656e-97	0.360632321175692	0.584	0.296	1.09674839460792e-92	9	MTDH
PLD31	2.43874685226328e-96	0.250219968791256	0.456	0.188	5.6244818653748e-92	9	PLD3
PIR1	8.20249554131131e-96	0.339703165575485	0.492	0.217	1.89174154669263e-91	9	PIR
RTN4	5.96013850739085e-94	0.346076971474341	0.497	0.232	1.37458674395955e-89	9	RTN4
APP1	1.6020808882973e-91	0.338966830500415	0.455	0.198	3.69487915268006e-87	9	APP
GPM6B1	3.37680428423207e-90	0.381184334932005	0.485	0.218	7.78792372072443e-86	9	GPM6B
RAB2A2	5.46882047953992e-90	0.304426771774725	0.561	0.277	1.26127406719629e-85	9	RAB2A
CKB	1.67819464015182e-89	0.252043729455063	0.266	0.083	3.87042029858214e-85	9	CKB
CITED13	2.06426838307449e-89	0.534436958038034	0.635	0.364	4.76082217188469e-85	9	CITED1
PHACTR1	2.63652214498825e-89	0.262589453704622	0.354	0.132	6.0806110229864e-85	9	PHACTR1
MT1E	3.31334342835731e-88	0.274448899324062	0.296	0.101	7.64156394882046e-84	9	MT1E
ATP6V0B	2.11536248679531e-87	0.27261886231022	0.528	0.252	4.87866050329601e-83	9	ATP6V0B
RAMP11	2.94213857077533e-86	0.459268132019226	0.493	0.237	6.78545418577915e-82	9	RAMP1
TRIB1	1.66158756165899e-85	0.345301051631717	0.275	0.093	3.83211939345412e-81	9	TRIB1
LY6E3	2.13064328356455e-85	0.534960904851355	0.734	0.505	4.91390260488493e-81	9	LY6E
NGFRAP1	8.91322869140614e-84	0.322478564438505	0.522	0.258	2.055657933099e-79	9	NGFRAP1
CYC12	5.10740293318194e-83	0.283143870511019	0.576	0.289	1.17792033847975e-78	9	CYC1
GPR1431	1.20931701691704e-82	0.264456095909823	0.454	0.2	2.78904783611576e-78	9	GPR143
METTL91	2.0576631741964e-80	0.408888093737614	0.649	0.397	4.74558857864915e-76	9	METTL9
S100A12	8.86734839051754e-79	0.4502467501936	0.854	0.638	2.04507655930506e-74	9	S100A1
CD591	1.48133261704218e-78	0.446986007567602	0.599	0.349	3.41639741468438e-74	9	CD59
GPX4	1.48357438653392e-75	0.395746497879916	0.654	0.381	3.42156760766318e-71	9	GPX4
LGALS3BP1	6.96150237527283e-74	0.300318642679727	0.465	0.22	1.60553129280917e-69	9	LGALS3BP
BSG1	3.65528713754228e-73	0.287504732561747	0.616	0.34	8.43018872531376e-69	9	BSG
SPTBN11	1.18159472823792e-72	0.254773205656521	0.361	0.152	2.72511192173511e-68	9	SPTBN1
MDK1	1.46929619109467e-72	0.286138439493169	0.332	0.134	3.38863780552165e-68	9	MDK
ZNF1061	3.11594521327406e-72	0.378565740765073	0.62	0.369	7.18630444537398e-68	9	ZNF106
CTSF1	6.70525274822722e-72	0.266722474527934	0.424	0.196	1.54643244132364e-67	9	CTSF
RHOBTB31	9.92398399698032e-71	0.31182062968601	0.442	0.215	2.28876842922357e-66	9	RHOBTB3
TMEM59	2.91963363967798e-70	0.310670412136278	0.543	0.299	6.73355106318933e-66	9	TMEM59
NDUFB91	6.80174031444265e-70	0.337391155666936	0.65	0.394	1.56868536871991e-65	9	NDUFB9
CRYL11	3.84326495707862e-68	0.282175582909269	0.428	0.206	8.86372197051043e-64	9	CRYL1
CRYAB2	1.85986472789607e-64	0.467690749149865	0.53	0.292	4.2894060219467e-60	9	CRYAB
PSAP1	4.09150863382568e-64	0.306516623914344	0.605	0.352	9.43624636219217e-60	9	PSAP
OCIAD1	1.26296199296733e-63	0.256440810231977	0.406	0.194	2.91276924438055e-59	9	OCIAD1
APLP2	2.17037778112767e-62	0.344697770451223	0.31	0.132	5.00554227661475e-58	9	APLP2
SPON21	4.36132505411358e-62	0.326873143711092	0.358	0.163	1.00585239723021e-57	9	SPON2
S100A131	6.9255636215802e-62	0.267806184108088	0.522	0.283	1.59724273804504e-57	9	S100A13
GEM1	1.02656740641466e-60	0.284356533379195	0.319	0.135	2.36757240941412e-56	9	GEM
CD631	1.05115780776089e-57	0.299898576675146	0.958	0.828	2.42428525203893e-53	9	CD63
COX6C2	1.90859967983056e-54	0.266913004883438	0.853	0.688	4.40180344159322e-50	9	COX6C
RHOB1	7.88876437799171e-54	0.31638925617023	0.371	0.183	1.81938572849623e-49	9	RHOB
C4orf481	3.88345395097365e-53	0.336713174976263	0.421	0.225	8.95640984713052e-49	9	C4orf48
PEBP1	2.91970456436358e-52	0.263356400800939	0.846	0.666	6.73371463679173e-48	9	PEBP1
PPIB	1.71099386070508e-49	0.266752809137734	0.626	0.401	3.94606514094414e-45	9	PPIB
P4HB1	1.91511507126046e-49	0.280468339069132	0.451	0.25	4.41682988884801e-45	9	P4HB
KLF101	2.02861921584116e-49	0.304504818092475	0.301	0.139	4.67860449749446e-45	9	KLF10
MYC1	2.91395648370699e-46	0.366271171648877	0.359	0.189	6.72045783837344e-42	9	MYC
GAPDH3	2.58204777458029e-45	0.452019966385273	0.993	0.957	5.95497678251451e-41	9	GAPDH
GADD45B1	8.4439605377955e-43	0.294575216647376	0.342	0.177	1.94743061883178e-38	9	GADD45B
ATF31	3.33725513812221e-40	0.289334571430719	0.385	0.216	7.69671152505124e-36	9	ATF3
GDF151	2.1931605496099e-36	0.306983166178205	0.282	0.14	5.05808617556532e-32	9	GDF15
VIM1	1.71453552676136e-35	0.43538268699437	0.966	0.939	3.95423328536973e-31	9	VIM
MT-CO11	6.2767706969055e-32	0.281868076600967	0.981	0.974	1.44761162582732e-27	9	MT-CO1
NR4A11	4.89919466846639e-30	0.290930568763776	0.447	0.297	1.1299012663884e-25	9	NR4A1
IFI61	6.08332955970612e-28	0.364336340137654	0.309	0.178	1.40299829635502e-23	9	IFI6
APOC12	1.67831389968537e-27	0.748811945042975	0.333	0.21	3.87069534684438e-23	9	APOC1
CDKN1A1	3.91127111878925e-24	0.386981303793739	0.356	0.238	9.02056458126364e-20	9	CDKN1A
CHCHD61	8.99405763409804e-22	0.300077451633323	0.279	0.169	2.07429951215203e-17	9	CHCHD6
MTRNR2L82	4.56141032936597e-17	0.34172617350166	0.395	0.282	1.05199806426167e-12	9	MTRNR2L8
ITM2B1	2.31259030056597e-14	0.254321271069937	0.491	0.386	5.33352701019529e-10	9	ITM2B
HLA-A1	5.30379191487356e-13	0.270348361026676	0.925	0.89	1.22321352932729e-08	9	HLA-A
APOE2	2.03353810322729e-12	0.477647786239181	0.599	0.56	4.68994892747311e-08	9	APOE
TUBA1B1	0	1.44713572367463	0.881	0.34	0	10	TUBA1B
STMN1	0	1.41638239050181	0.84	0.202	0	10	STMN1
H2AFZ	0	1.35135899187419	0.927	0.538	0	10	H2AFZ
HMGN2	0	1.34303777537125	0.854	0.28	0	10	HMGN2
TUBB	0	1.2136139525214	0.866	0.361	0	10	TUBB
HMGB21	0	1.11147532704001	0.601	0.075	0	10	HMGB2
HIST1H4C	0	1.07345547209457	0.485	0.107	0	10	HIST1H4C
PTTG1	0	1.00656996826511	0.685	0.067	0	10	PTTG1
UBE2C	0	1.00497334706221	0.624	0.004	0	10	UBE2C
TYMS	0	0.952803078624182	0.655	0.027	0	10	TYMS
CENPF	0	0.738623148234885	0.459	0.007	0	10	CENPF
RRM2	0	0.627224168874937	0.429	0.004	0	10	RRM2
MKI67	0	0.625881420431527	0.471	0.004	0	10	MKI67
CDKN3	0	0.622491935549312	0.494	0.009	0	10	CDKN3
H2AFV	0	0.610323051887634	0.587	0.11	0	10	H2AFV
NUSAP1	0	0.595527502244389	0.464	0.008	0	10	NUSAP1
BIRC5	0	0.588255021742819	0.507	0.003	0	10	BIRC5
CDK1	0	0.558309399161477	0.466	0.006	0	10	CDK1
TOP2A	0	0.550146336285557	0.399	0.004	0	10	TOP2A
CKS1B	0	0.523205907450806	0.505	0.039	0	10	CKS1B
CCNB1	0	0.487286151145065	0.333	0.006	0	10	CCNB1
UBE2T	0	0.474890788054689	0.429	0.009	0	10	UBE2T
H2AFX	0	0.452278518515507	0.459	0.085	0	10	H2AFX
TPX2	0	0.447121182208582	0.393	0.004	0	10	TPX2
TMEM106C	0	0.418202383569694	0.423	0.054	0	10	TMEM106C
CCNA2	0	0.414834343916699	0.353	0.003	0	10	CCNA2
CENPM	0	0.37755412660243	0.388	0.013	0	10	CENPM
ASPM	0	0.373439816098834	0.277	0.002	0	10	ASPM
GGH	0	0.373281568466885	0.353	0.035	0	10	GGH
TK1	0	0.358946133394487	0.326	0.006	0	10	TK1
CDC20	0	0.355514585950346	0.28	0.002	0	10	CDC20
ZWINT	0	0.352174990223279	0.348	0.008	0	10	ZWINT
DTYMK	0	0.349763047355193	0.402	0.038	0	10	DTYMK
TMPO	0	0.349136582599916	0.338	0.036	0	10	TMPO
MAD2L1	0	0.338461188416484	0.351	0.011	0	10	MAD2L1
RPA3	0	0.333300327554657	0.396	0.061	0	10	RPA3
SMC4	0	0.33119052229785	0.311	0.025	0	10	SMC4
CCNB2	0	0.320292909589718	0.281	0.003	0	10	CCNB2
TROAP	0	0.319911279575523	0.29	0.002	0	10	TROAP
ATAD2	0	0.316958534332688	0.268	0.014	0	10	ATAD2
CENPW	0	0.309182981141204	0.322	0.009	0	10	CENPW
HMGB3	0	0.291063771995953	0.297	0.014	0	10	HMGB3
DHFR	0	0.283511555093249	0.281	0.011	0	10	DHFR
CENPU	0	0.263003061051831	0.263	0.007	0	10	CENPU
PHF19	0	0.25683765683774	0.269	0.013	0	10	PHF19
CDC25B	0	0.253794165545826	0.259	0.028	0	10	CDC25B
CKS21	2.7257962115461e-307	0.758657551311358	0.624	0.167	6.28650380268877e-303	10	CKS2
HMGB1	1.39062387579078e-303	0.925524276741871	0.909	0.575	3.20719584473628e-299	10	HMGB1
DEK	9.06949319036141e-291	0.503671169501419	0.544	0.134	2.09169721449305e-286	10	DEK
CARHSP1	7.75999226080521e-289	0.30178493517996	0.355	0.057	1.78968701510951e-284	10	CARHSP1
KPNA2	1.84486843488186e-287	0.416772292069393	0.371	0.064	4.25482007136802e-283	10	KPNA2
KIF22	8.40252154405891e-285	0.288003723730565	0.307	0.044	1.93787354370631e-280	10	KIF22
PCNA	3.09505430476e-284	0.36522980362699	0.324	0.05	7.13812374306799e-280	10	PCNA
MZT1	2.06231405577011e-267	0.293739302691573	0.338	0.056	4.7563149068226e-263	10	MZT1
DDX39A	3.54631876271615e-245	0.289227503788704	0.333	0.059	8.17887496245226e-241	10	DDX39A
UBE2S	5.7889452884108e-242	0.389155947618978	0.341	0.063	1.33510445186618e-237	10	UBE2S
LSM5	3.88025659706834e-237	0.32498491548169	0.428	0.093	8.94903578981871e-233	10	LSM5
HN1	2.3069569012177e-235	0.42967317323716	0.444	0.105	5.32053470127838e-231	10	HN1
RANBP1	1.06897670597858e-230	0.44371165589917	0.521	0.142	2.46538097699839e-226	10	RANBP1
LSM4	1.12145369620214e-221	0.418284081583287	0.579	0.174	2.586408659551e-217	10	LSM4
DUT	1.19666947157732e-214	0.615275734745723	0.538	0.168	2.75987880229878e-210	10	DUT
CALM3	1.71353204907691e-207	0.503376965729518	0.612	0.211	3.95191896478607e-203	10	CALM3
ANP32E	1.79580530336987e-207	0.265469661664455	0.295	0.053	4.14166577116192e-203	10	ANP32E
RAD21	1.97106585503922e-203	0.519102975415097	0.526	0.16	4.54586918147695e-199	10	RAD21
HMGN1	8.08173532248623e-195	0.468840766242051	0.719	0.289	1.863890617425e-190	10	HMGN1
IDH2	5.56634399549057e-193	0.328461513285306	0.368	0.084	1.28376591567999e-188	10	IDH2
ANP32B	3.79775232427057e-172	0.440770032656151	0.599	0.217	8.75875618546521e-168	10	ANP32B
RHEB	1.82896664064875e-170	0.383873204095097	0.509	0.164	4.2181457633282e-166	10	RHEB
PFN12	1.49680241176748e-151	0.757960714090555	0.955	0.822	3.45207540225934e-147	10	PFN1
MT2A1	2.20423646722477e-150	0.559679166654983	0.619	0.252	5.08363056436049e-146	10	MT2A
RAN	1.21522183722249e-149	0.495950360871903	0.796	0.44	2.80266612318623e-145	10	RAN
NUCKS1	1.30452945718444e-149	0.352605791940057	0.493	0.166	3.00863628710447e-145	10	NUCKS1
PPP1CA	3.35427293110418e-149	0.346525291391094	0.491	0.163	7.73595966100557e-145	10	PPP1CA
FABP5	9.11049925315773e-147	0.457264522521888	0.499	0.173	2.10115444275577e-142	10	FABP5
SMS	4.29703816853459e-146	0.332650403562443	0.472	0.153	9.91025912809133e-142	10	SMS
TUBA1C	3.90030831625291e-141	0.443824857119629	0.428	0.138	8.99528106977409e-137	10	TUBA1C
ACTB2	1.29745424466033e-138	0.809853031006225	0.998	0.947	2.99231872446011e-134	10	ACTB
DBI	1.29254989442039e-136	0.330493984995118	0.549	0.202	2.98100782150174e-132	10	DBI
TUBB4B	1.94326901311624e-136	0.458512178813873	0.506	0.188	4.48176132494999e-132	10	TUBB4B
AP2S1	1.3229174161603e-135	0.333082983205023	0.545	0.203	3.05104443689049e-131	10	AP2S1
SNRPB	1.69719758574274e-134	0.354359074949229	0.541	0.207	3.91424679199847e-130	10	SNRPB
ARL6IP1	2.08200118768435e-132	0.324739698487082	0.295	0.075	4.80171933915642e-128	10	ARL6IP1
HNRNPA2B11	1.04061484778714e-130	0.532128151211753	0.745	0.419	2.39997002345148e-126	10	HNRNPA2B1
SNRPD1	9.72060484696967e-125	0.296594002009594	0.462	0.161	2.24186309585662e-120	10	SNRPD1
CFL1	4.47403697894669e-124	0.503180437063727	0.958	0.828	1.03184714845448e-119	10	CFL1
BUB3	4.38743273146933e-121	0.251716520196372	0.321	0.09	1.01187361085877e-116	10	BUB3
ANAPC11	1.30060449928264e-120	0.318308483565815	0.599	0.253	2.99958415669555e-116	10	ANAPC11
GAPDH4	6.25998913585489e-120	0.397477345963397	0.999	0.957	1.44374129440221e-115	10	GAPDH
SNRPG	9.64434642938918e-116	0.351986794386695	0.529	0.219	2.22427561701003e-111	10	SNRPG
PGAM1	3.9210464952645e-111	0.391850899883833	0.589	0.267	9.04310953202853e-107	10	PGAM1
COX8A	2.68212631143059e-110	0.385802307815665	0.791	0.483	6.18578791205236e-106	10	COX8A
BANF1	2.43504431840112e-106	0.281440320450598	0.502	0.199	5.61594271152849e-102	10	BANF1
RALY	2.55912246813056e-106	0.26077342304009	0.39	0.134	5.9021041482495e-102	10	RALY
HNRNPA3	8.07123359404871e-103	0.335303341755933	0.583	0.267	1.86146860379545e-98	10	HNRNPA3
MRPL51	9.788689862426e-100	0.255817149073999	0.46	0.178	2.25756554297131e-95	10	MRPL51
HINT11	3.26403995815455e-99	0.350358077562333	0.942	0.794	7.52785535549185e-95	10	HINT1
SLBP	1.44012045150158e-98	0.283313329266923	0.339	0.113	3.32134979729809e-94	10	SLBP
CLIC11	1.44759981326876e-97	0.377131206088127	0.649	0.329	3.33859944934175e-93	10	CLIC1
PPIA1	2.33754001875573e-94	0.383265588934443	0.984	0.932	5.39106854525633e-90	10	PPIA
ERH	7.77217260504636e-94	0.296176854373617	0.551	0.249	1.79249616790184e-89	10	ERH
TPM4	4.94034690246653e-92	0.268208043094769	0.385	0.14	1.13939220611586e-87	10	TPM4
TPI11	8.67932002691804e-92	0.401346218553131	0.864	0.626	2.00171157780811e-87	10	TPI1
PTMS	3.40163004612427e-91	0.379289278312972	0.428	0.18	7.84517937537641e-87	10	PTMS
ATP5G3	2.44661203781168e-90	0.347596958020901	0.727	0.406	5.64262134280507e-86	10	ATP5G3
SIVA1	4.88605919918691e-89	0.271820072351502	0.429	0.173	1.12687183310848e-84	10	SIVA1
PSMA7	8.60145168054234e-88	0.309991084510944	0.652	0.339	1.98375280108348e-83	10	PSMA7
ARPC22	4.01159816092288e-87	0.429377829580427	0.661	0.362	9.25194883853643e-83	10	ARPC2
SLC25A51	1.39078699290632e-84	0.376481006568148	0.822	0.578	3.20757204173984e-80	10	SLC25A5
SNRPC	4.01677034491454e-83	0.284610339766586	0.462	0.202	9.2638774464764e-79	10	SNRPC
PRELID1	7.83878160143086e-82	0.274971858407455	0.55	0.265	1.807858200738e-77	10	PRELID1
PTMA2	2.34687831620437e-78	0.358156627178395	0.994	0.973	5.41260546066215e-74	10	PTMA
GNG5	1.07897453903405e-75	0.306638049545727	0.632	0.345	2.48843897937424e-71	10	GNG5
WDR1	2.55515838329741e-72	0.276650593346771	0.451	0.205	5.89296177939881e-68	10	WDR1
MIF2	2.93035330918501e-71	0.554367357939661	0.887	0.827	6.75827383697339e-67	10	MIF
TXN	6.45859346179707e-69	0.269414079325983	0.572	0.295	1.48954541009426e-64	10	TXN
PARK7	9.82035796227756e-69	0.301209750632202	0.662	0.38	2.26486915684007e-64	10	PARK7
SRSF3	1.24851326337501e-68	0.261465554326793	0.536	0.27	2.87944613932178e-64	10	SRSF3
SUMO2	6.04838709849939e-68	0.305909533849828	0.752	0.485	1.39493951652692e-63	10	SUMO2
CALM2	9.45405753528731e-68	0.396517415812203	0.769	0.564	2.18038928936331e-63	10	CALM2
ACTG12	1.92004229865574e-66	0.351472621816386	0.998	0.957	4.42819355338973e-62	10	ACTG1
COX5A	9.1932947212594e-64	0.272761905868785	0.592	0.323	2.12024956156406e-59	10	COX5A
GYPC	1.57205596973485e-62	0.314803372237157	0.575	0.326	3.62563268299949e-58	10	GYPC
HNRNPA1	2.74466440694218e-60	0.275451342341742	0.941	0.842	6.33001952173074e-56	10	HNRNPA1
PKM1	1.02276452999964e-58	0.306401500497577	0.559	0.307	2.35880183553816e-54	10	PKM
H3F3A	7.72739150511601e-56	0.253102871900798	0.902	0.806	1.78216830282491e-51	10	H3F3A
UQCRQ1	2.32374091661042e-54	0.290828893811464	0.618	0.379	5.3592436759786e-50	10	UQCRQ
SUB12	4.55239469635284e-53	0.320769609350023	0.573	0.34	1.04991878881986e-48	10	SUB1
LGALS12	2.46011462928159e-52	0.573775948109896	0.584	0.39	5.67376236951213e-48	10	LGALS1
PRKDC	2.96689198579923e-52	0.290638216462694	0.341	0.16	6.84254298684876e-48	10	PRKDC
MYL61	5.83609933106048e-52	0.306900725224239	0.869	0.743	1.34597958872248e-47	10	MYL6
RHOA1	3.36627657443718e-43	0.252590933835736	0.605	0.383	7.76364366362447e-39	10	RHOA
PSMB91	3.73367972630197e-43	0.392866667719983	0.34	0.182	8.61098555277024e-39	10	PSMB9
RAC21	6.46398596115056e-43	0.377082267012223	0.253	0.114	1.49078908222015e-38	10	RAC2
TCEB11	1.55602964487437e-38	0.306573374249357	0.477	0.299	3.58867116997377e-34	10	TCEB1
ENO11	1.57250822209888e-38	0.262483597726971	0.54	0.336	3.62667571262665e-34	10	ENO1
QDPR2	3.42077449331863e-31	0.275858725893147	0.255	0.125	7.88933221394075e-27	10	QDPR
DUSP41	4.38151228326421e-26	0.325190150714419	0.269	0.148	1.01050817788923e-21	10	DUSP4
COX6C3	1.73620169650248e-20	0.275477914607383	0.777	0.689	4.00420197264366e-16	10	COX6C
LY6E4	2.84105142136404e-19	0.295814739777294	0.624	0.507	6.55231689309188e-15	10	LY6E
ARHGDIB2	2.23846578984763e-16	0.295793673734336	0.267	0.171	5.16257365112558e-12	10	ARHGDIB
SH3BGRL32	8.61307773927333e-15	0.267023445709027	0.493	0.388	1.98643411900861e-10	10	SH3BGRL3
MGP	0	2.69144697698363	0.609	0.004	0	11	MGP
SPARC1	0	1.88817455040343	0.754	0.149	0	11	SPARC
COL1A1	0	1.69260689131203	0.305	0.002	0	11	COL1A1
TAGLN	0	1.66809693573727	0.377	0.004	0	11	TAGLN
FN1	0	1.58782287185561	0.547	0.012	0	11	FN1
RGS5	0	1.57637919310886	0.295	0.002	0	11	RGS5
IGFBP5	0	1.5724269138117	0.369	0.014	0	11	IGFBP5
COL3A1	0	1.56643713689379	0.365	0.001	0	11	COL3A1
TM4SF1	0	1.5175481121245	0.488	0.003	0	11	TM4SF1
BGN	0	1.47239398845373	0.525	0.056	0	11	BGN
COL1A2	0	1.46911107009456	0.363	0.03	0	11	COL1A2
RAMP2	0	1.19165125478176	0.434	0.008	0	11	RAMP2
ID3	0	1.19144188528153	0.613	0.053	0	11	ID3
TIMP3	0	1.18341862143254	0.539	0.029	0	11	TIMP3
SPARCL1	0	1.14734958552476	0.512	0.011	0	11	SPARCL1
COL4A1	0	1.1197090685884	0.529	0.001	0	11	COL4A1
CD9	0	1.11326189467897	0.594	0.033	0	11	CD9
CRIP2	0	1.01747492706303	0.66	0.071	0	11	CRIP2
THY1	0	0.980944726218045	0.373	0.001	0	11	THY1
IGFBP4	0	0.97508677377161	0.598	0.022	0	11	IGFBP4
PECAM1	0	0.974903408706284	0.381	0.025	0	11	PECAM1
PLVAP	0	0.962969819181368	0.338	0.001	0	11	PLVAP
TPM2	0	0.923691891093954	0.355	0.014	0	11	TPM2
COL4A2	0	0.903471649769156	0.514	0.003	0	11	COL4A2
COL6A2	0	0.891631724535181	0.451	0.019	0	11	COL6A2
ADIRF	0	0.888860339791263	0.441	0.026	0	11	ADIRF
PDLIM1	0	0.850233333247515	0.553	0.053	0	11	PDLIM1
VWF	0	0.842728832049	0.295	0	0	11	VWF
SDPR	0	0.837456018595739	0.375	0.001	0	11	SDPR
TPM1	0	0.825923408282109	0.369	0.031	0	11	TPM1
PRSS23	0	0.819822237130063	0.506	0.016	0	11	PRSS23
ENG	0	0.795037747270637	0.496	0.025	0	11	ENG
ADAMTS1	0	0.791636901071167	0.344	0.024	0	11	ADAMTS1
TSC22D1	0	0.783020123362142	0.531	0.068	0	11	TSC22D1
PLPP1	0	0.768149676234171	0.406	0.026	0	11	PLPP1
